# v6_wfo_report | 2026-07-16 08:15 | v6_backtest.py (ventana 30 sesiones, split 60/40, triple-barrier 0.75xATR14_1m/60min, PROB_MIN=0 en replay para observar todas las clases)
# grid WFO 27-combos (V6_MIN/V6_RVOL/V6_RETR_CONT) NO corrido — fase 2 manual (`--grid`); este reporte = calibracion con defaults.

  TLINE_BREAK_LONG         train   3n   0.0% | oos   3n  66.7% | avgW +0.13% avgL -0.06% | prob_bot 48% | PRIOR
  TLINE_BREAK_SHORT        train   8n  75.0% | oos   7n  85.7% | avgW +0.11% avgL -0.10% | prob_bot 61% | PRIOR
  TREND_PULLBACK_LONG      train   2n   0.0% | oos   3n   0.0% | avgW +0.00% avgL -0.09% | prob_bot 56% | PRIOR
  TREND_PULLBACK_SHORT     train   2n   0.0% | oos   2n  50.0% | avgW +0.14% avgL -0.11% | prob_bot 56% | PRIOR
  TREND_REVERSAL_LONG      train   6n  66.7% | oos   3n  33.3% | avgW +0.21% avgL -0.16% | prob_bot 58% | PRIOR
  TREND_REVERSAL_SHORT     train   9n  44.4% | oos   3n  66.7% | avgW +0.20% avgL -0.14% | prob_bot 52% | PRIOR
  VWAP_LOSS_SHORT          train   6n  66.7% | oos   3n  66.7% | avgW +0.21% avgL -0.13% | prob_bot 62% | PRIOR
TSM: 30 sesiones 2026-05-28..2026-07-10 | 66 trades WR 58% (train 44 / oos 22)
  ORB_LONG                 train   5n  40.0% | oos   3n  66.7% | avgW +0.13% avgL -0.16% | prob_bot 50% | PRIOR
  ORB_SHORT                train   3n 100.0% | oos   3n  33.3% | avgW +0.12% avgL -0.13% | prob_bot 59% | PRIOR
  TLINE_BREAK_LONG         train   4n  75.0% | oos   3n  33.3% | avgW +0.06% avgL -0.07% | prob_bot 58% | PRIOR
  TLINE_BREAK_SHORT        train   7n  85.7% | oos   1n 100.0% | avgW +0.08% avgL -0.06% | prob_bot 63% | PRIOR
  TREND_PULLBACK_LONG      train   4n   0.0% | oos   0n   0.0% | avgW +0.00% avgL -0.09% | prob_bot 52% | PRIOR
  TREND_PULLBACK_SHORT     train   3n  66.7% | oos   3n  66.7% | avgW +0.10% avgL -0.08% | prob_bot 63% | PRIOR
  TREND_REVERSAL_LONG      train   8n  75.0% | oos   1n 100.0% | avgW +0.22% avgL -0.19% | prob_bot 61% | PRIOR
  TREND_REVERSAL_SHORT     train   8n  50.0% | oos   8n  37.5% | avgW +0.17% avgL -0.15% | prob_bot 50% | DEGRADADA
  VWAP_LOSS_SHORT          train   2n  50.0% | oos   0n   0.0% | avgW +0.04% avgL -0.09% | prob_bot 59% | PRIOR
TXN: 30 sesiones 2026-05-28..2026-07-10 | 69 trades WR 49% (train 47 / oos 22)
  ORB_LONG                 train   5n  80.0% | oos   2n 100.0% | avgW +0.11% avgL -0.15% | prob_bot 58% | PRIOR
  ORB_SHORT                train   5n   0.0% | oos   3n  33.3% | avgW +0.12% avgL -0.13% | prob_bot 42% | PRIOR
  SQUEEZE_BREAK_LONG       train   1n 100.0% | oos   0n   0.0% | avgW +0.19% avgL +0.00% | prob_bot 58% | PRIOR
  SQUEEZE_BREAK_SHORT      train   0n   0.0% | oos   1n 100.0% | avgW +0.06% avgL +0.00% | prob_bot 56% | PRIOR
  TLINE_BREAK_LONG         train   4n  25.0% | oos   5n  60.0% | avgW +0.10% avgL -0.07% | prob_bot 50% | PRIOR
  TLINE_BREAK_SHORT        train  11n  27.3% | oos   2n  50.0% | avgW +0.11% avgL -0.09% | prob_bot 45% | PRIOR
  TREND_PULLBACK_LONG      train   3n  66.7% | oos   2n 100.0% | avgW +0.09% avgL -0.09% | prob_bot 63% | PRIOR
  TREND_PULLBACK_SHORT     train   1n 100.0% | oos   1n   0.0% | avgW +0.14% avgL -0.08% | prob_bot 64% | PRIOR
  TREND_REVERSAL_LONG      train   5n  60.0% | oos   1n   0.0% | avgW +0.20% avgL -0.19% | prob_bot 56% | PRIOR
  TREND_REVERSAL_SHORT     train  10n  60.0% | oos   5n  40.0% | avgW +0.14% avgL -0.12% | prob_bot 54% | DEGRADADA
  VWAP_LOSS_SHORT          train   2n  50.0% | oos   0n   0.0% | avgW +0.12% avgL -0.19% | prob_bot 59% | PRIOR
USO: 30 sesiones 2026-05-28..2026-07-10 | 59 trades WR 44% (train 29 / oos 30) | WARN set señales difiere entre pasadas
  ORB_LONG                 train   1n   0.0% | oos   6n  50.0% | avgW +0.10% avgL -0.11% | prob_bot 50% | DEGRADADA
  ORB_SHORT                train   6n  50.0% | oos   6n  33.3% | avgW +0.12% avgL -0.08% | prob_bot 49% | DEGRADADA
  SQUEEZE_BREAK_SHORT      train   0n   0.0% | oos   1n 100.0% | avgW +0.23% avgL +0.00% | prob_bot 56% | PRIOR
  TLINE_BREAK_LONG         train   3n 100.0% | oos   4n  50.0% | avgW +0.10% avgL -0.09% | prob_bot 61% | PRIOR
  TLINE_BREAK_SHORT        train   2n 100.0% | oos   1n   0.0% | avgW +0.16% avgL -0.08% | prob_bot 59% | PRIOR
  TREND_PULLBACK_LONG      train   0n   0.0% | oos   1n 100.0% | avgW +0.09% avgL +0.00% | prob_bot 62% | PRIOR
  TREND_PULLBACK_SHORT     train   2n  50.0% | oos   0n   0.0% | avgW +0.13% avgL -0.10% | prob_bot 61% | PRIOR
  TREND_REVERSAL_LONG      train   7n  14.3% | oos   3n  66.7% | avgW +0.10% avgL -0.13% | prob_bot 44% | PRIOR
  TREND_REVERSAL_SHORT     train   8n  12.5% | oos   8n  50.0% | avgW +0.10% avgL -0.14% | prob_bot 44% | DEGRADADA

# RESUMEN FLOTA por clase (agregado 16 US)
  MTF_BB_REV_LONG          train    1n   0.0% | oos    2n   0.0%
  ORB_LONG                 train   49n  34.7% | oos   44n  56.8%
  ORB_SHORT                train   67n  47.8% | oos   79n  48.1%
  SQUEEZE_BREAK_LONG       train    9n  55.6% | oos    8n  25.0%
  SQUEEZE_BREAK_SHORT      train    5n  40.0% | oos    9n  44.4%
  TLINE_BREAK_LONG         train   73n  39.7% | oos   49n  32.7%
  TLINE_BREAK_SHORT        train   96n  56.2% | oos   37n  70.3%
  TREND_PULLBACK_LONG      train   26n  46.2% | oos   14n  57.1%
  TREND_PULLBACK_SHORT     train   23n  52.2% | oos   17n  41.2%
  TREND_REVERSAL_LONG      train   99n  47.5% | oos   45n  40.0%
  TREND_REVERSAL_SHORT     train  140n  45.7% | oos   94n  45.7%
  VWAP_LOSS_SHORT          train   38n  57.9% | oos   15n  73.3%
  VWAP_RECLAIM_LONG        train    1n   0.0% | oos    0n   0.0%
